C,filename,url,atom_count,valid,reason,bytes,sha256
42,C42-C1-24.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-24.xyz,42,1,OK,2566,dcf66475c5165fced71e3e900e3fd17c7b445dad6704df634666fef4d0e982c4
42,C42-C1-25.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-25.xyz,42,1,OK,2566,2f3d2a8fed34850135a708a9e0fd91a3e60d5c1ccc6406462a49d96efe02fb9f
42,C42-C1-26.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-26.xyz,42,1,OK,2566,8acc44f4e1be036cddef54f475f670be517ae24466662c3ca7dc27dca3133c3f
42,C42-C1-29.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-29.xyz,42,1,OK,2566,830956440873f4dcb82ad274b7016a87c790b41ac2ecd57764779c4fd571279a
42,C42-C1-3.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-3.xyz,42,1,OK,2566,2155af1ddc4a0995b1216e786ac8748f4ef888575455b7fdd1708fbae04a9073
42,C42-C1-30.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-30.xyz,42,1,OK,2566,17c720707860865ba30c933e80c94fc40d9e00c2f9d69ade102b1896b35c72c3
42,C42-C1-32.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-32.xyz,42,1,OK,2566,91f81469990d230886c997a8077cdc267e65bc9e55abc97e97786b6e32317fae
42,C42-C1-33.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-33.xyz,42,1,OK,2566,5e555ef23da2f00961da69a82a5bf23dbeaa9c9acf1c4677b27b28f5376c279b
42,C42-C1-34.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-34.xyz,42,1,OK,2566,c66288cdea49075868f78ee3a3d344a97e4322d0532a62bb76ea3546078dfb32
42,C42-C1-36.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-36.xyz,42,1,OK,2566,acb7b9922b393adb9f34d127cee978e9697386d7fa5933b0cb41ed4c79f321fe
42,C42-C1-37.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-37.xyz,42,1,OK,2566,234f6cf7d6c1ce539ec36bd447612f9878aaa700ac04f44fdd86c1f5889d13ee
42,C42-C1-39.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-39.xyz,42,1,OK,2566,17303aeee925496500d9243c538807d46458db4a5acf1c3d90b4822f8fbcf1c9
42,C42-C1-4.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-4.xyz,42,1,OK,2566,47adb0dc9894c129e58e7cf80ce3f65cb50095d662646f43d9d755651b8f631d
42,C42-C1-44.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-44.xyz,42,1,OK,2566,86a26e561197ffdccd74c027b70bcf187ed3524dec1e871fa32fa0269c39af27
42,C42-C1-8.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-8.xyz,42,1,OK,2566,dfb13bd744352c18efd88ef1fc5ec54ddcdd69b168686b51cc0b31d2a8bd1045
42,C42-C1-9.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C1-9.xyz,42,1,OK,2566,45adce1453c52e753c54d805034df4a219a461ec0377d2ecac4cd4dc60fb5ecb
42,C42-C2-1.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-1.xyz,42,1,OK,2566,d11637a72e376f4ea8966f001ad8ef36de107fad660f574304e9efcfacf8a176
42,C42-C2-23.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-23.xyz,42,1,OK,2566,1a151e76545ebae925b48ed690343be046750abdc0d7975c204fdb7ee72ffc55
42,C42-C2-27.xyz,https://nanotube.msu.edu/fullerene/C42/C42-C2-27.xyz,42,1,OK,2566,460500e35024ce6be25493b2a75093c59b5554b6f32de1b2831fc605707461d4
